suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,std_median_income,boxcox_number_of_units,boxcox_number_of_houses,sqrt_population,boxcox_median_house_price
KEW EAST,2236,1007,Boroondara,73.0,1807.0,1989100.0,7252,1.3217460539491215,11.070380861610756,16.932810135986294,85.15867542417507,4.800899229217718
KEYSBOROUGH,9761,1578,Greater Dandenong,49.0,1253.0,1006400.0,16492,-0.4255925174243804,12.181970262249264,23.85932458240211,128.42118205342916,4.758539259417434
KILSYTH,4209,1613,Yarra Ranges,82.0,1211.0,813100.0,12665,-0.5580622286115412,12.23789882541375,19.6789871270177,112.53888216967503,4.744071981247611
KILSYTH SOUTH,767,163,Maroondah,82.0,1211.0,1100900.0,12665,-0.5580622286115412,7.1603768919598085,12.952849933978301,112.53888216967503,4.764448425123736
KINGSBURY,1234,479,Darebin,69.0,1172.0,813800.0,24119,-0.6810698175710477,9.365172650564123,14.626014250700436,155.30292978562898,4.74413157766779
KINGSVILLE,1266,832,Maribyrnong,56.0,1162.0,1091300.0,19978,-0.7126102249965621,10.616817874512883,14.720285878173383,141.34355308962628,4.763876331264276
KNOXFIELD,2723,1042,Knox,76.0,1310.0,909600.0,6617,-0.24581219509894792,11.152723568146712,17.754493495187226,81.34494452638098,4.751754843705824
KOOYONG,283,226,Stonnington,78.0,2047.0,2232000.0,10201,2.078715832161469,7.797208867026614,9.883232842050422,101.0,4.807519566575144
LALOR,8358,1216,Whittlesea,52.0,919.0,678600.0,20717,-1.479042125436564,11.529381748613384,23.039032055147715,143.93401265857906,4.731323229041354
LAVERTON,2370,488,Hobsons Bay,67.0,1221.0,603500.0,29313,-0.5265218211860268,9.40595823447001,17.172438479520594,171.2103968805633,4.722808945259628
LILYDALE,5989,2379,Yarra Ranges,82.0,1284.0,908900.0,13615,-0.32781725440528553,13.254818434789085,21.353891145401803,116.68333214302719,4.7517026784357626
LYSTERFIELD,1797,79,Knox,78.0,1392.0,1386000.0,35341,0.01281914579027079,5.839565298917925,16.055333468179317,187.99202110727998,4.779143729974009
MACLEOD,3511,1718,Banyule,79.0,1458.0,1123400.0,12063,0.22098583479866632,12.399549280013577,18.85903679493837,109.83168941612435,4.765766204210169
MAIDSTONE,2995,2208,Maribyrnong,56.0,1162.0,843300.0,19978,-0.7126102249965621,13.055700732989328,18.16225233832481,141.34355308962628,4.746588827933392
MALVERN,3622,3241,Stonnington,78.0,2047.0,2337300.0,10201,2.078715832161469,14.100594046046863,18.997861306947517,101.0,4.810126762713226
MCKINNON,1953,1107,Glen Eira,72.0,1538.0,1683800.0,17630,0.47330909420278217,11.29943904096827,16.385416238068114,132.77801022759755,4.7910560271550855
MENTONE,4507,3922,Kingston,76.0,1288.0,1332300.0,14158,-0.31520109143507974,14.6390716862641,19.995452487135392,118.98739429031968,4.776669180208782
MITCHAM,5802,3089,Whitehorse,76.0,1424.0,1128700.0,14482,0.11374844955191711,13.96701565641221,21.19879205438348,120.34118164618461,4.766072023545364
MONTMORENCY,3368,1434,Banyule,87.0,1457.0,1111000.0,8154,0.21783179405611489,11.939825594303326,18.67480356046701,90.29950165975447,4.765043909224619
MOONEE PONDS,5142,3482,Moonee Valley,73.0,1611.0,1367100.0,12017,0.7035540684090378,14.301574495252103,20.616511266203233,109.62207806824317,4.778286080198605
MOORABBIN,2571,1673,Kingston,69.0,1294.0,1283800.0,13081,-0.2962768469797711,12.331357183618625,17.511906868840672,114.37219941926448,4.7743294648333725
