node,lat,lon
711327755,-37.807675,144.9558726
711327756,-37.8070943,144.9559785
711327759,-37.8073009,144.9578172
711327760,-37.8078848,144.9577193
777781264,-37.8052207,144.9521732
356125087,-37.8165761,144.9801473
560988348,-37.8213426,144.9463561
560988354,-37.8210743,144.9472727
560988353,-37.821547,144.9450864
367132897,-37.8092779,144.9738332
579993929,-37.8044679,144.9388588
579993932,-37.8043312,144.9386845
767820210,-37.8025734,144.9722269
6226313833,-37.8242288,144.9848327
6226313842,-37.8189675,144.98492
6226313846,-37.8189618,144.9818293
3276407461,-37.8186923,144.9478945
775946936,-37.8041525,144.958323
775946941,-37.8041711,144.9584591
1132069603,-37.8140839,144.9445116
1132069612,-37.8128094,144.9431875
1132069613,-37.8128215,144.9431476
579470070,-37.820836,144.9542349
1132069623,-37.8141226,144.9444126
1132069624,-37.8134616,144.944369
1132069648,-37.8140807,144.9445408
1132069653,-37.8141377,144.9443707
54552174,-37.8196791,144.9816751
2935358337,-37.8271781,144.9940628
2935358343,-37.8271878,144.9940192
2935358344,-37.8271664,144.9941152
54552188,-37.8200225,144.9850984
560989090,-37.819146,144.9463523
710018065,-37.8151591,144.9364628
710018068,-37.8151825,144.936401
589431853,-37.8139599,144.9636889
560989237,-37.8211813,144.9472961
589431885,-37.8137647,144.9643365
282854566,-37.7991359,145.0106154
282854567,-37.7989614,145.0109993
282854568,-37.7989055,145.011509
282854569,-37.7990172,145.0123398
282854570,-37.7992337,145.0134219
282854571,-37.799478,145.014113
282854572,-37.7998201,145.0147972
1224869048,-37.8134835,144.9411308
1224869051,-37.8133999,144.9410188
1224869049,-37.8135741,144.9411848
1224869056,-37.8134275,144.9410974
1224869058,-37.8134657,144.9408574
1224869065,-37.8136729,144.9410854
1224869068,-37.8136201,144.9408897
250479829,-37.8137352,145.006257
250479836,-37.8111341,145.0064662
1224869091,-37.8134865,144.9408048
250479850,-37.8153242,145.0075979
1224869101,-37.813523,144.941156
250479864,-37.8161788,145.0074542
579994885,-37.8041145,144.9384725
250479885,-37.816325,145.0031212
2577925392,-37.812667,144.9473703
250479896,-37.8175106,145.0028707
250479903,-37.8185848,145.0053358
579994943,-37.8039338,144.9382392
282854772,-37.800225,145.00961
282854778,-37.7997833,145.0097787
282854783,-37.7995544,145.0101972
579995038,-37.8029536,144.936477
2170946980,-37.802047,144.9841272
560989608,-37.8207051,144.9485447
560989610,-37.821023,144.947451
560989611,-37.8210346,144.9474081
591398356,-37.821418,144.9614566
591398359,-37.8216294,144.9614117
2789606893,-37.8027455,144.983113
2789606895,-37.8027353,144.9830125
608962184,-37.8028165,145.0094388
576860418,-37.824397,144.9885463
266733258,-37.8098985,144.978232
1224869661,-37.8142368,144.9372396
1224869676,-37.8118639,144.938485
1224869677,-37.8118268,144.9405883
634783578,-37.8122336,144.9365521
1367607237,-37.8002952,144.9706506
1367607240,-37.7996936,144.9717499
250480609,-37.8111224,145.0063192
250480634,-37.8076298,145.0076639
250480641,-37.8110388,145.005486
250480649,-37.8109632,145.0047212
250480655,-37.8108189,145.003222
250480659,-37.8094735,145.003438
250480662,-37.8092109,145.0008942
250480666,-37.8106542,145.0015254
250480669,-37.8107328,145.0023363
250480672,-37.8093802,145.0025535
250480677,-37.809295,145.0017436
54396972,-37.8015853,144.9484374
634783845,-37.8141701,144.9558816
634783914,-37.8135787,144.937065
634783937,-37.8122119,144.9370288
906234093,-37.8014382,145.0067066
906234095,-37.8008536,145.0032655
634784031,-37.81247,144.9362889
634784032,-37.8124386,144.9363711
356124993,-37.8167084,144.9813454
575539547,-37.8236861,144.982575
634784114,-37.8136666,144.937144
634784124,-37.8138355,144.9372356
634784125,-37.8138662,144.9371478
634784134,-37.8144586,144.9375093
123079071,-37.8147732,144.9574037
2346846625,-37.809026,144.9816284
332794352,-37.8095022,145.004336
6206786039,-37.8114994,144.970394
332794361,-37.8088018,145.0050696
30385484,-37.8163763,144.9963062
30385485,-37.8166021,144.9981401
266734205,-37.8076698,144.9734049
266734280,-37.8094575,144.9856035
634784608,-37.8146552,144.9376676
95554473,-37.7995729,144.9374431
2879917028,-37.8046399,144.9716395
2894990347,-37.8223314,144.9475823
122817581,-37.8210602,144.9551708
2090732592,-37.8025923,144.9800625
122817608,-37.8221915,144.9476644
595594344,-37.8096282,144.9714872
